well_number,well_position,cycle_number,POOL_T80K_1,POOL_T80K_2,POOL_T80K_3,POOL_T80K_4,POOL_T80K_5,POOL_T80K_6,POOL_T80K_7,POOL_T80K_8,POOL_T80K_9,POOL_T80K_10,POOL_WT_1,Non-targeting,Untransduced_WT,Untransduced_T80K
1,A1,1,307631.5,328555.03,325680.72,319352.72,326676.22,310049.22,327271.94,295614.12,301199.56,270404.8,317286.12,314223.5,330155.03,#N/A
2,A2,1,279167.72,295817.44,297683.7,285960.25,308002.4,283898.44,292292.94,263410.4,280000.4,263674.06,283092.28,281361.66,296761.3,#N/A
3,A3,1,264356.94,295552.8,275675.75,279634.47,277984.1,273543.53,275188.7,260000.62,260342.02,257783.02,274230.5,272721.6,280746.16,#N/A
4,A4,1,250691.86,265606.28,263221.44,265096,266404.34,265058.8,268091.56,249378.25,250744.28,247594.22,263464.88,265195.97,266492.88,#N/A
5,A5,1,234261.23,247604.33,248414.83,241083.9,243832.95,251789.03,249384.36,239346.58,232672.06,237524.14,251423.31,246939.02,248338.2,#N/A
6,A6,1,197284.45,212623.27,209332.86,199465.05,205401.66,202403.05,210916.06,194545.05,200220.02,191567.75,216881.47,210296.83,209105.23,#N/A
7,A7,1,217487.53,229937.3,222293.3,220513.12,229005.39,222596.44,229208.64,217144.11,218854.61,220655.39,227505.84,230397,229030.44,#N/A
8,A8,1,232731.31,238078.5,240156.62,230862.17,231146.78,228809.14,238865.78,228224.39,227275.16,232002.88,239168.66,237930.34,241366.47,#N/A
9,A9,1,230807.48,244066.58,238538.69,239033.9,232765.08,234161.55,239049.81,229833.64,231398.22,225678.67,234595.86,235917.98,238366.84,#N/A
10,A10,1,239816.72,259678.67,248857.81,249185.66,244912.3,250302.1,253548.64,242759.27,243138.6,246310.7,249822.8,250201.14,252200.86,#N/A
11,A11,1,226559.47,245012.05,227673.84,229548.95,232522.7,232567.03,233830.45,231000.02,228424.44,229193.53,236072.9,240976.2,231606.97,#N/A
12,A12,1,212884.31,227507.89,231025.62,217741.16,214668.45,228134.44,223162.53,208263.45,218019.03,219625.56,227292.14,246283.14,233737.17,#N/A
13,B1,1,300700.06,320048.22,318555.78,320575.03,320528.6,310465.28,320404.4,291268.8,304412.53,297105.66,315887.28,315802.88,320352.2,#N/A
14,B2,1,255225.19,286441.3,278059.3,271258.9,264848.22,275850.94,276686.4,251200.44,252549.81,243733.55,267909.8,272071.16,273763.03,#N/A
15,B3,1,241633.06,258177.17,256730.98,248464.38,247245.6,253357.12,248950.16,237816.28,241997.58,245027.17,249983.97,252741.92,255713.48,#N/A
16,B4,1,224743.1,238386.42,234912.38,230073.02,231828.08,234287.33,239361.67,227187.52,225085.05,233686.06,235580.67,236696.72,237157.69,#N/A
17,B5,1,215008.03,232358.44,227353.78,224395.02,225632.31,223899.47,228920.88,211981.53,218535.08,219858.61,225100.12,218770.08,227528.2,#N/A
18,B6,1,221964.08,228781.7,233517.23,225849.12,235272.84,221341.64,235939.47,215096.77,227022.98,222500.61,226447.7,227856.62,230822.73,#N/A
19,B7,1,209662.83,223836.3,224824.1,219091.6,222048.73,218823.66,215395.5,212575.92,217253.12,211613.5,219299.8,218708.8,227325.31,#N/A
20,B8,1,208163.84,219216.75,222076.52,218726.95,215392.4,225012.83,220330.64,211502.19,212819.12,216360.69,219999.34,220372.58,221063.6,#N/A
21,B9,1,206087.52,227440.05,217661.17,214815.67,211796.98,220209.27,223310.81,211043.02,209775.9,213071.36,216579.27,214751.03,216857.78,#N/A
22,B10,1,222198.39,237576.23,231229.25,225934.89,224453.81,226100.78,228575.58,218509.86,220593.7,216572.83,222026.92,226333.95,233742.27,#N/A
23,B11,1,228133.3,239890.88,235888.44,230542.88,229732.34,230787.44,241428.27,217441.42,221410.75,217380.16,227980.9,229109.23,239156.48,#N/A
24,B12,1,224647.25,234684.39,239361.05,228678.03,224018.72,236946.73,225999.4,217227.31,223562.52,230741.42,225206.6,237911.2,239140.02,#N/A
